/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/dvb_s2_ldpc_decoder_submodules/ldpc_vn,  0.37,  0.15, <0.01,  0.06,  0.00,  0.00, 49.50
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/dvb_s2_ldpc_decoder_submodules/ldpc_iocontrol,  0.66,  0.39,  0.11,  0.27,  0.00,  0.00, 40.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/dvb_s2_ldpc_decoder_submodules/ldpc_vncluster,  0.92,  0.41, <0.01,  0.16,  0.71,  0.00, 48.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/ecg_submodules/f3_add, <0.01, <0.01,  0.00,  0.00,  0.00,  0.00,  3.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/ecg_submodules/f3_mult, <0.01, <0.01,  0.00,  0.00,  0.00,  0.00,  3.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/ecg_submodules/f3_sub, <0.01, <0.01,  0.00,  0.00,  0.00,  0.00,  3.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/ecg_submodules/func6,  0.02, <0.01,  0.00,  0.00,  0.00,  0.00,  2.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/fast_antilog,  0.11,  0.08,  0.00,  0.04,  0.36,  0.00, 17.50
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/fpga-median,  1.81,  1.41,  0.00,  0.13,  0.00,  0.00, 85.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/fpga-median_submodules/state_machine,  0.20,  0.14,  0.00,  0.08,  0.00,  0.00, 32.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/gng_submodules/gng_coef,  0.62,  0.44,  0.00,  0.09,  0.00,  0.00, 31.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/gng_submodules/gng_ctg,  0.36,  0.19,  0.00,  0.19,  0.00,  0.00, 34.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/gng_submodules/gng_lzd,  0.14,  0.08,  0.00,  0.00,  0.00,  0.00, 33.50
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/gng,  0.70,  0.43,  0.11,  0.32,  0.71,  0.91, 10.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/gng_submodules/gng_smul_16_18,  0.00,  0.00,  0.00,  0.00,  0.00,  0.45, 34.50
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/gng_submodules/gng_interp,  0.46,  0.24,  0.11,  0.12,  0.71,  0.91, 42.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/mesi_isc_submodules/mesi_isc_basic_fifo,  0.59,  0.20,  0.00,  0.07,  0.00,  0.00, 35.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/gng_submodules/gng_smul_16_18_sadd_37,  0.00,  0.00,  0.00,  0.00,  0.00,  0.45, 55.00
/misc/scratch/zwei1/reports/raw_designs/opencores/arithmetic/mod3_calc,  0.02, <0.01,  0.00,  0.00,  0.00,  0.00,  5.00
